theme,url,img,lines,author
DISCOVERY,/inspirational-quotes/8340-there-are-always-new-things-to-find-out-if-you,https://assets.passiton.com/quotes/quote_artwork/8340/medium/20250605_thursday.jpg,There are always new things to find out if you go looking for them.,<Author:0x00007f5fc981e428>
DISCOVERY,/inspirational-quotes/8409-by-mutual-confidence-and-mutual-aid-great-deeds,https://assets.passiton.com/quotes/quote_artwork/8409/medium/20250604_wednesday.jpg,"By mutual confidence and mutual aid great deeds are done, and great discoveries made.",<Author:0x00007f5fc9815648>
DISCOVERY,/inspirational-quotes/7381-discovery-is-seeing-what-everybody-else-has,https://assets.passiton.com/quotes/quote_artwork/7381/medium/20250603_tuesday.jpg,"Discovery is seeing what everybody else has seen, and thinking what nobody else has thought.",<Author:0x00007f5fc982d900>
DISCOVERY,/inspirational-quotes/6823-you-have-to-leave-the-city-of-your-comfort-and,https://assets.passiton.com/quotes/quote_artwork/6823/medium/20250602_monday.jpg,You have to leave the city of your comfort and go into the wilderness of your intuition. What you'll discover will be wonderful. What you'll discover is yourself.,<Author:0x00007f5fc98266a0>
GET OUTSIDE,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20250530_friday_quote.jpg,The world is incomprehensibly beautiful—an endless prospect of magic and wonder.,<Author:0x00007f5fc983e6b0>
GET OUTSIDE,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20250529_thursday_quote.jpg,Nature brings solace in all troubles.,<Author:0x00007f5fc98358d0>
GET OUTSIDE,/inspirational-quotes/8380-the-wilderness-holds-answers-to-questions-we,https://assets.passiton.com/quotes/quote_artwork/8380/medium/20250528_wednesday_quote.jpg,The wilderness holds answers to questions we have not yet learned to ask.,<Author:0x00007f5fc985b738>
GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20250527_tuesday_quote.jpg,An early morning walk is a blessing for the whole day.,<Author:0x00007f5fc986f648>
GET OUTSIDE,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20250526_monday_quote.jpg,"Of all the paths you take in life, make sure a few of them are dirt.",<Author:0x00007f5fc9862808>
LAUGHTER,/inspirational-quotes/7462-the-most-wasted-of-all-days-is-one-without,https://assets.passiton.com/quotes/quote_artwork/7462/medium/20250523_friday_quote.jpg,The most wasted of all days is one without laughter.,<Author:0x00007f5fc987a020>
LAUGHTER,/inspirational-quotes/3137-laughter-is-the-shortest-distance-between-two,https://assets.passiton.com/quotes/quote_artwork/3137/medium/20250522_thursday_quote.jpg,Laughter is the shortest distance between two people.,<Author:0x00007f5fc9871ba0>
LAUGHTER,/inspirational-quotes/6344-may-your-walls-know-joy-may-every-room-hold,https://assets.passiton.com/quotes/quote_artwork/6344/medium/20250521_wednesday_quote.jpg,"May your walls know joy, may every room hold laughter, and every window open to great possibility.",<Author:0x00007f5fc98c98a0>
LAUGHTER,/inspirational-quotes/8245-laughter-is-proof-of-hope,https://assets.passiton.com/quotes/quote_artwork/8245/medium/20250520_tuesday_quote.jpg,Laughter is proof of hope.,<Author:0x00007f5fc98c2140>
LAUGHTER,/inspirational-quotes/7461-laugh-my-friend-for-laughter-ignites-a-fire,https://assets.passiton.com/quotes/quote_artwork/7461/medium/20250519_monday_quote.jpg,"Laugh my friend, for laughter ignites a fire within the pit of your belly and awakens your being.",<Author:0x00007f5fc993b5e0>
LIVE LIFE,/inspirational-quotes/7773-be-fearless-in-the-pursuit-of-what-sets-your,https://assets.passiton.com/quotes/quote_artwork/7773/medium/20250516_friday_quote.jpg,Be fearless in the pursuit of what sets your soul on fire.,<Author:0x00007f5fc9934b00>
LIVE LIFE,/inspirational-quotes/6244-to-be-able-to-look-back-upon-ones-life-in,https://assets.passiton.com/quotes/quote_artwork/6244/medium/20250515_thursday_quote.jpg,"To be able to look back upon one's life in satisfaction, is to live twice.",<Author:0x00007f5fc995cc68>
LIVE LIFE,/inspirational-quotes/4137-go-confidently-in-the-direction-of-your-dreams,https://assets.passiton.com/quotes/quote_artwork/4137/medium/20250514_wednesday_quote.jpg,Go confidently in the direction of your dreams! Live the life you've imagined.,<Author:0x00007f5fc997ee30>
LIVE LIFE,/inspirational-quotes/3877-find-out-who-you-are-and-do-it-on-purpose,https://assets.passiton.com/quotes/quote_artwork/3877/medium/20250513_tuesday_quote.jpg,Find out who you are and do it on purpose.,<Author:0x00007f5fc9975290>
LIVE LIFE,/inspirational-quotes/4875-to-live-a-life-fulfilled-reflect-on-the-things,https://assets.passiton.com/quotes/quote_artwork/4875/medium/20250512_monday_quote.jpg,To live a life fulfilled reflect on the things you have with gratitude.,<Author:0x00007f5fc99abea8>
ENCOURAGEMENT,/inspirational-quotes/7075-our-chief-want-is-someone-who-will-inspire-us,https://assets.passiton.com/quotes/quote_artwork/7075/medium/20250508_thursday_quote.jpg,Our chief want is someone who will inspire us to be what we know we could be.,<Author:0x00007f5fc99a4428>
ENCOURAGEMENT,/inspirational-quotes/3710-promise-yourself-to-be-just-as-enthusiastic,https://assets.passiton.com/quotes/quote_artwork/3710/medium/20250507_wednesday_quote.jpg,Promise yourself to be just as enthusiastic about the success of others as you are about your own.,<Author:0x00007f5fc99da320>
ENCOURAGEMENT,/inspirational-quotes/3554-those-who-are-lifting-the-world-upward-and,https://assets.passiton.com/quotes/quote_artwork/3554/medium/20250506_tuesday_quote.jpg,Those who are lifting the world upward and onward are those who encourage more than criticize.,<Author:0x00007f5fc99fe068>
ENCOURAGEMENT,/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/7826/medium/20250505_monday_quote.jpg,"The world needs dreamers and the world needs doers. But above all, the world needs dreamers who do.",<Author:0x00007f5fc99f47e8>
SELF-CARE,/inspirational-quotes/8258-mind-body-soul-these-are-the-three-things,https://assets.passiton.com/quotes/quote_artwork/8258/medium/20250502_friday_quote.jpg,Mind. Body. Soul. These are the three things self-care is all about.,<Author:0x00007f5fc9a1c090>
SELF-CARE,/inspirational-quotes/6899-adopt-the-pace-of-nature-her-secret-is-patience,https://assets.passiton.com/quotes/quote_artwork/6899/medium/20250501_thursday_quote.jpg,Adopt the pace of nature: her secret is patience.,<Author:0x00007f5fc9a11f50>
SELF-CARE,/inspirational-quotes/7055-there-s-only-one-corner-of-the-universe-you-can,https://assets.passiton.com/quotes/quote_artwork/7055/medium/20250430_wednesday_quote.jpg,"There’s only one corner of the universe you can be certain of improving, and that’s your own self.",<Author:0x00007f5fc9a382b8>
SELF-CARE,/inspirational-quotes/7237-if-your-compassion-does-not-include-yourself,https://assets.passiton.com/quotes/quote_artwork/7237/medium/20250429_tuesday_quote.jpg,"If your compassion does not include yourself, it is incomplete.",<Author:0x00007f5fc9a4ed88>
SELF-CARE,/inspirational-quotes/7961-talk-to-yourself-like-you-would-to-someone-you,https://assets.passiton.com/quotes/quote_artwork/7961/medium/20250428_monday_quote.jpg,Talk to yourself like you would to someone you love.,<Author:0x00007f5fc9a49068>
FAMILY,/inspirational-quotes/7575-we-must-take-care-of-our-families-wherever-we,https://assets.passiton.com/quotes/quote_artwork/7575/medium/20250425_friday.jpg,We must take care of our families wherever we find them.,<Author:0x00007f5fc9a441a8>
